"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"A production function analysis of commercial dairy farms in the highlands of Eritrea using ridge regression","","Ghebremariam, W K; Ortmann, G F; Nsahlai, I V","Agrekon","Undefined","","45","2","2006-06-01","Jun 2006","225","242","225-242","0303-1853","0303-1853","","ENG","This study presents a production function analysis of fresh milk production in the Highlands of Eritrea, where most dairy farmers in Eritrea are located. To ensure representative production functions, this region was divided into three relatively homogenous study areas, namely Central Zone, Mendefera and Dekemhare. Most data for the study were collected in a survey of 120 respondents using a structured questionnaire. To obviate the problem of multicollinearity among explanatory variables, ridge regression was used to estimate milk production functions for each study area. Production elasticities of variable inputs, marginal products (MPx), values of marginal products (VMPx), marginal rates of input substitution (MRS) and leastcost combinations of purchased concentrates and forage were estimated for the three regions. The VMPs of all inputs for Central Zone dairy farmer respondents were estimated to be greater than their input prices, implying that the resources were under-utilized from a profit-maximising perspective (i.e. where VMPx = Px). However, respondents in Mendefera and Dekemhare used concentrates in excess of optimum levels (i.e. VMPx < Px). Analysis of the least-cost combination of purchased concentrates and forage suggests that dairy farmer respondents were also not allocating these resources on a minimum-cost basis. However, the profit maximizing and least-cost criteria assume perfect knowledge, a risk-free environment and competitive markets. Improved information, farmer training and better infrastructure (roads and telecommunications) to promote competitive markets could help to enhance resource allocation decisions by dairy producers. Reprinted by permission of Landbou-Ekonomievereniging van Suid-Afrika = Agricultural Economics Association of Southern Africa","https://www.proquest.com/docview/36581079?accountid=12870&bdid=124553&_bd=TeMtTMwvKdN5f9Uk520yHOXvZjM%3D",""
"Structural models of corporate bond pricing with maximum likelihood estimation","","Li, K L; Wong, Hoi Ying","Journal of empirical finance","Undefined","","15","4","2008-09-01","Sep 2008","751","777","751-777","0927-5398","0927-5398","","ENG","This paper empirically examines the proxy, volatility-restriction (VR) and maximum likelihood (ML) approaches to implementing structural corporate bond pricing models, and documents that ML estimation is the best among the three implementation methods. Empirical studies using either the proxy approach or the VR method conclude that barrier-independent models significantly underestimate corporate bond yields. Although barrier-dependent models tend to overestimate the yield on average, they generate a sizable degree of underestimation. The present paper shows that the proxy approach is an upwardly biased estimator of the corporate assets and makes the empirical framework work systematically against structural models of corporate bond pricing. The VR approach may generate inconsistent corporate bond prices or may fail to give a positive corporate bond price for some structural models. When the Merton, LS, BD and LT models are implemented with ML estimation, we find substantial improvement in their performances. Our empirical analysis shows that the LT model is very accurate for predicting short-term bond yields, whereas the LS and BD models are good predictors for medium-term and long-term bonds. The Merton model however significantly overestimates short-term bond yields and underestimates long-term bond yields. Unlike empirical studies in the past, the Merton model implemented with ML estimation does not consistently underestimate corporate bond yields. All rights reserved, Elsevier","https://www.proquest.com/docview/36945670?accountid=12870&bdid=124553&_bd=3B8XUNfW878W0kEHCvol%2BGe0hYY%3D","https://doi.org/10.1016/j.jempfin.2008.01.001"
"Multiplicative parameters and estimators: applications in economics and finance","","Jasiulewicz, Helena; Kordecki, Wojciech","Annals of Operations Research","Undefined","Springer Science+Business Media, Van Godewijckstraat 30 Dordrecht 3311 GX Netherlands","238","1-2","2016-03-01","March 2016","299","313","299-313","0254-5330","1572-9338","","ENG","In this paper, we pay our attention to multiplicative parameters of random variables and their estimators. We study multiplicative properties of the multiplicative expectation and multiplicative variation as well as their estimators. For distributions having applications in finance and insurance we provide their multiplicative parameters and their properties. We consider, among others, heavy-tailed distributions such as lognormal and Pareto distributions, applied to the modelling of large losses. We discuss multiplicative models, in which the geometric mean and the geometric standard deviation are more natural than their arithmetic counterparts. We provide two examples from the Warsaw Stock Exchange in 1995-2009 and from a bid of 52-week treasury bills in 1992-2009 in Poland as an illustrative example.","https://www.proquest.com/docview/1800490006?accountid=12870&bdid=124553&_bd=er1BPoVNCd7gln0pd9%2FyOw%2Bafx4%3D","https://doi.org/10.1007/s10479-015-2035-x"
"THE SPECULATIVE DEMAND FOR MONEY - AN ALTERNATIVE APPROACH","","Laumas, G S","The American Journal of Economics and Sociology","Scholarly Journals","","35","1","1976-01-01","JAN. 1976","37","","37","00029246","","","ENG","THE SPECULATIVE DEMAND FOR MONEY HAS OCCUPIED AN IMPORTANT ROLE IN KEYNES' GENERAL THEORY.  SINCE THEN IT HAS RECEIVED ONLY SPORADIC ATTENTION, DUE LARGELY TO THE FACT THAT THE THEORY IN ITS ORIGINAL FORM HAS USUALLY FAILED TO SURVIVE THE EMPIRICAL TESTS.  THE SPECULATIVE DEMAND FOR MONEY IS ESTIMATED USING THE GENERAL FRAMEWORK OF THE 'EFFICIENT MARKETS THEORY'.  THE PERIOD COVERED IS OF A RELATIVELY STABLE INSTITUTIONAL SETTING FOLLOWING THE 1951 U.S.  TREASURY-FEDERAL RESERVE ACCORD.  THE RESULTS FOR THIS PERIOD STRONGLY INDICATE THE EXISTENCE OF THE SPECULATIVE DEMAND FOR MONEY.  TABLE.  NOTES.","https://www.proquest.com/docview/217665763?accountid=12870&bdid=124553&_bd=93wXxHlshRNm0ZbFbXNU%2BpmS%2BLc%3D","https://doi.org/10.1111/j.1536-7150.1976.tb01210.x"
"The “probability of recession”: Evaluating probabilistic and non-probabilistic forecasts from probit models of U.S. recessions","","Ratcliff, Ryan","Economics letters","Undefined","Elsevier B.V.","121","2 p.311-315","2013-11-01","Nov 2013","311","315","p. 311-315","0165-1765","0165-1765","","ENG","This letter evaluates forecasts from probit models that use the slope of the yield curve to forecast recessions. These models give reliable non-probabilistic warnings of recessions, but the estimated probabilities do not match the conditional frequency of recession months.","https://www.proquest.com/docview/2253212087?accountid=12870&bdid=124553&_bd=5Z0k1VC5%2FDMi1e4pzojad0IdyZk%3D","https://doi.org/10.1016/j.econlet.2013.09.002"
"The multifactor nature of the volatility of futures markets","","Chiarella, Carl; Tô, Thuy-Duong","Computational economics","Undefined","","27","2-3","2006-04-01","Apr 2006","163","184","163-184","0927-7099","0927-7099","","ENG","This paper estimates a model of interest rate dynamics containing multi-factor Wiener and single-factor Poisson jump volatility components. Data from the highly liquid but short term futures markets are used. The difficult numerical problem of estimating such multi-factor models is resolved by using a genetic algorithm to carry out the optimization procedure. It is established that the multi-factor Wiener volatility components are adequate to model the interest rate dynamics without the need to incorporate Poisson jump components, the existence of which would create difficulties in the practical use of interest rate models. Reprinted by permission of Springer","https://www.proquest.com/docview/36541457?accountid=12870&bdid=124553&_bd=vogFb8RaiBb2C40UAxuE6tMX6Yk%3D","https://doi.org/10.1007/s10614-006-9023-9"
"Non-linear and asymmetric linkages between real growth in the Euro area and global financial market conditions: new evidence","","Mili, Mehdi; Sahut, Jean-Michel; Teulon, Frédéric","Economic modelling","Undefined","","29","3","2012-05-01","May 2012","734","741","734-741","0264-9993","0264-9993","","ENG","This paper deals with transition mechanisms through which financial market conditions affect real economic growth in the Euro area. The informational content of financial variables for predicting real economic growth is assessed, allowing for asymmetric responses to shocks. A nonlinear framework is developed based on a smooth transition model for which the effects of shocks can vary across business cycles when financial indicators modify both the endogenous and state variables. Global financial variables are shown to significantly affect real growth in the Euro area, particularly during periods of recession. Changes in stock market index and yield slope have asymmetric effects on real growth. In recessionary periods, the slope of the US yield curve does not have a significant impact on growth in the Euro area. All rights reserved, Elsevier","https://www.proquest.com/docview/1024211436?accountid=12870&bdid=124553&_bd=3vCbWONqdFsrPvPLQUYH5FRrVUg%3D","https://doi.org/10.1016/j.econmod.2012.01.008"
"The UK Companies Act of 2006, the Sarbanes-Oxley Act of 2002, and important reviews of 2009. Implications for the certainty equivalent coefficient net present value criterion","","Paulo, S","International Journal of Law and Management","Undefined","Emerald Group Publishing Limited, 60-62 Toller Lane Bradford West Yorkshire BD8 9BY UK","52","6","2010-01-01","2010","469","480","469-480","1754-243X","1754-243X","","ENG","Purpose - The purpose of this paper is to draw attention to the fact that the certainty equivalent coefficient net present value criterion, CEC(NPV), in disregarding a fundamental requirement for the calculation of cash flows for purposes of discounted cash flow analysis, invalidates this capital budgeting criterion from the perspective of sound research methodology. The paper also investigates the impact of the UK Companies Act of 2006, the Sarbanes-Oxley Act of 2002, and important reviews such as the Turner Review of 2009, the Walker Review of 2009, and the Review of the Combined Code of 2009 on this operationally invalid capital budgeting criterion, as well as its impact on the process of financial managerial decision making. Design/methodology/approach - The CEC(NPV) as a discounted cash flow capital budgeting criterion was examined from the perspective of the axioms of cash flow estimation as well as from the definition of the cost of capital in order to ascertain the contribution of this criterion to financial management. The relevant sections of the UK Companies Act of 2006, the Sarbanes-Oxley Act of 2002, the Turner Review of 2009, the Walker Review of 2009, and the Review of the Combined Code of 2009 were studied in order to establish whether the CEC(NPV) was able to satisfy the requirements of this legislation and these important reviews. Findings - The CEC(NPV) is construct invalid and does not measure what it purports to measure: it over-states financial viability. As a consequence, it does not meet the requirements of sound research methodology and therefore is at odds with the UK Companies Act of 2006, the Sarbanes-Oxley Act of 2002, and falls foul of the Turner Review of 2009, the Walker Review of 2009, the 2009 Review of the Combined Code issued by the Financial Reporting Council. As such it cannot be endorsed by the Financial Services Authority. Originality/value - The paper usefully shows that the CEC(NPV) denies financial managers application of Fisherian analysis for resolving conflicts in the rankings of mutually exclusive projects, and, the comparison of project cost of capital with their respective internal rates of return. Comparisons of the internal rate of return, not with the risk-free rate (that is assumed to be a constant and which exhibits minimal variability in comparison with the cost of capital), but with the cost of capital cost of capital, are a sine qua non for managerial decision making, especially capital budgeting.","https://www.proquest.com/docview/849485630?accountid=12870&bdid=124553&_bd=i32XAI1Rr2TGYqTpNccHsLURHx0%3D","https://doi.org/10.1108/17542431011093162"
"Consumption, aggregate wealth and expected stock returns: a quantile cointegration approach","","Quineche, Ricardo","Studies in Nonlinear Dynamics and Econometrics","Scholarly Journals","","26","5","2022-12-01","Dec 2022","","","","1081-1826","","","ENG","This paper empirically examines the long-run relationship between consumption, asset wealth and labor income (i.e., cay) in the United States through the lens of a quantile cointegration approach. The advantage of using this approach is that it allows for a nonlinear relationship between these variables depending on the level of consumption. We estimate the coefficients using a Phillips–Hansen type fully modified quantile estimator to correct for the presence of endogeneity in the cointegrating relationship. To test for the null of cointegration at each quantile, we apply a quantile CUSUM test. Results show that: (i) consumption is more sensitive to changes in labor income than to changes in asset wealth for the entire distribution of consumption, (ii) the elasticity of consumption with respect to labor income (asset wealth) is larger at the right (left) tail of the consumption distribution than at the left (right) tail, (iii) the series are cointegrated around the median, but not in the tails of the distribution of consumption, (iv) using the estimated cay obtained for the right (left) tail of the distribution of consumption improves the long-run (short-run) forecast ability on real excess stock returns over a risk-free rate.","https://www.proquest.com/docview/2762942606?accountid=12870&bdid=124553&_bd=h2XQODc3yAEeUqTwDmYFVIOyd9U%3D","https://doi.org/10.1515/snde-2020-0059"
"Out-of-sample forecasts and nonlinear model selection with an example of the term structure of interest rates","","Liu, Yamei; Enders, Walter","Southern economic journal","Undefined","","69","3","2003-01-01","Jan 2003","520","540","520-540","0038-4038","0038-4038","","ENG","","https://www.proquest.com/docview/38415114?accountid=12870&bdid=124553&_bd=53nFTNK74IDgLHDXtpcxiVkA4D8%3D",""
"Interest rate term structure modeling using free-knot splines","","Fernández-Rodríguez, Fernando","Journal of business","Undefined","","79","6","2006-11-01","Nov 2006","3083","3100","3083-3100","0021-9398","0021-9398","","ENG","In this article a new methodology for estimating the term structure of interest rates is developed. Using polynomial splines, a reliable approximation to term structure may depend crucially upon intelligent selection of numbers and position of spline knots, which can be a combinatorially very complex task. A different approach based on heuristic optimization techniques called genetic algorithms is presented. The optimal spline function takes into account the goodness of fit of the spline function. The new methodology was applied to estimating the term structure using data on zero-coupon Euro market bonds. Reprinted by permission of the University of Chicago Press. © All rights reserved","https://www.proquest.com/docview/36585209?accountid=12870&bdid=124553&_bd=bvgNTjzjMsdCBiqLM5ocueeR0mk%3D",""
"Human health risk assessment for exposure to BTEXN in an urban aquifer using deterministic and probabilistic methods: A case study of Chennai city, India","","Rajasekhar, Bokam; Nambi, Indumathi M; Govindarajan, Suresh Kumar","Environmental pollution (Barking, Essex : 1987)","Undefined","","265","Pt B","2020-10-01","Oct 2020","114814","","114814","1873-6424","","","ENG","The aquifer in Tondiarpet, Chennai, had been severely contaminated with petroleum fuels due to an underground pipeline leakage. Groundwater samples were analyzed quarterly for priority pollutants such as benzene, toluene, ethylbenzene, xylenes, and naphthalene (BTEXN) using purge and trap gas chromatography and mass spectrometer from 2016 to 2018. The maximum concentrations of BTEXN in groundwater at the site were found to be greater than the permissible limits significantly. Among the five sampling locations (MW1, MW2, MW3, MW4, and MW5), mean BTEXN levels were found to be higher near MW2, confirming the source location of petroleum leakage. Human health risk assessment was carried out using deterministic and probabilistic methods for exposure to BTEXN by oral and dermal exposure pathways. Risk analysis indicated that mean cancer and non-cancer risks were many times higher than the allowable limits of 1E-06 and 1 respectively in all age groups (children, teens, and adults), implying the adverse health effects. Oral exposure is predominately contributing (60-80%) to the total health risk in comparison to the dermal exposure route. Variability and uncertainty were addressed using the Monte Carlo simulations and the resultant minimum, maximum, 5th, 95th, and mean percentile risks were predicted. Under the random exposure conditions to BTEXN, it was estimated that the risk would become unacceptable for >98.7% of the exposed population. Based on the sensitivity analysis, exposure duration, and ingestion rate are the crucial variables contributing significantly to the health risk. As part of the risk management, preliminary remediation goals for the study site were estimated, which require >99% removal of the BTEXN contamination for risk-free exposures. It is suggested that the residents of Tondiarpet shouldn't utilize the contaminated groundwater mainly for oral ingestion to lower the cancer incidence related to exposure to BTEXN.The aquifer in Tondiarpet, Chennai, had been severely contaminated with petroleum fuels due to an underground pipeline leakage. Groundwater samples were analyzed quarterly for priority pollutants such as benzene, toluene, ethylbenzene, xylenes, and naphthalene (BTEXN) using purge and trap gas chromatography and mass spectrometer from 2016 to 2018. The maximum concentrations of BTEXN in groundwater at the site were found to be greater than the permissible limits significantly. Among the five sampling locations (MW1, MW2, MW3, MW4, and MW5), mean BTEXN levels were found to be higher near MW2, confirming the source location of petroleum leakage. Human health risk assessment was carried out using deterministic and probabilistic methods for exposure to BTEXN by oral and dermal exposure pathways. Risk analysis indicated that mean cancer and non-cancer risks were many times higher than the allowable limits of 1E-06 and 1 respectively in all age groups (children, teens, and adults), implying the adverse health effects. Oral exposure is predominately contributing (60-80%) to the total health risk in comparison to the dermal exposure route. Variability and uncertainty were addressed using the Monte Carlo simulations and the resultant minimum, maximum, 5th, 95th, and mean percentile risks were predicted. Under the random exposure conditions to BTEXN, it was estimated that the risk would become unacceptable for >98.7% of the exposed population. Based on the sensitivity analysis, exposure duration, and ingestion rate are the crucial variables contributing significantly to the health risk. As part of the risk management, preliminary remediation goals for the study site were estimated, which require >99% removal of the BTEXN contamination for risk-free exposures. It is suggested that the residents of Tondiarpet shouldn't utilize the contaminated groundwater mainly for oral ingestion to lower the cancer incidence related to exposure to BTEXN.","https://www.proquest.com/docview/2410705436?accountid=12870&bdid=124553&_bd=9UwhP0Pq18pHZzbj1ggFSKyvTu4%3D","https://doi.org/10.1016/j.envpol.2020.114814"
"Viewpoint: Can technology create a risk-free market?","","Ozemhoya, Carol","OR-MS Today","Scholarly Journals","","44","3","2017-06-01","Jun 2017","","","","10851038","","","ENG","Some people worry about technology costing people jobs and taking over the world as has been portrayed in many major motion pictures, such as the ""Matrix"" series. In fact, many of the advances in technology have made their lives easier and safer and, well, cheaper. There's also advanced technology's impact on financial markets. Artificial intelligence, for example, can enable a trader, financial analyst or even an ordinary person to predict the volatility of the stock markets and even specific stocks. That comes with advanced technology systems that are designed to monitor social media and news sources. One such system, called Vector, tracks social media and news coverage of specific trends, companies, stocks, even personalities and returns information that can assist its user in making crucial financial moves.","https://www.proquest.com/docview/2104172058?accountid=12870&bdid=124553&_bd=EhpCjtDpJR0K1sxOCdTWcSS0vc0%3D",""
"A constrained least square method for estimating a smooth, nonnegative forward rate sequence","","Konno, H; Ito, S","International journal of theoretical and applied finance","Undefined","","8","7","2005-11-01","Nov 2005","989","998","989-998","0219-0249","0219-0249","","ENG","We will develop an efficient method for estimating a smooth nonnegative forward rate sequence using the market price of riskless bonds. This method is an improvement of the classical Carleton-Cooper's method based on standard least squares method, which often generates a non-smooth forward rate sequence and hence is not used in practice. The method to be proposed in this paper is intended to resolve this difficulty. We will impose a smoothness condition while maintaining the fitting error within an acceptable level. The resulting optimization problem is shown to be convex in the region of interest. Therefore, we can calculate a globally optimal solution very fast by standard nonlinear programming algorithms. We will demonstrate that this method generates a smooth forward rate sequence at the expense of a very small increase of fitting error. Reprinted by permission of World Scientific Publishing","https://www.proquest.com/docview/37742666?accountid=12870&bdid=124553&_bd=rutABLF4qwtZOI44zXkQaZTrhEI%3D",""
"Bounded Shooting: A Method for Solving Large Non-Linear Econometric Models Under the Assumption of Consistent Expectations","","Spencer, Peter D","Oxford Bulletin of Economics and Statistics","Scholarly Journals","","47","1","1985-02-01","Feb 1985","79","","79","03059049","","","ENG","The ''multiple shooting'' method can overcome the error propagation problem, which precludes the use of the basic shooting method in most econometric applications.  The multiple method, however, vastly increases the dimensions of the iterative technique used to garner the values of the expectational variables.  Developed by Lipton, Poterba, Sachs, and Summers, the multiple shooting method works well for small sample models.  For forecasting and policy simulation models, this ''multiple'' method will be ruled out.  An alternative method, which takes care of the error problem and keeps the original dimensions for the iterative procedure, is the ''bounded shooting'' method.  The choice of whether to use this bounded method is a matter of trial and error.  The newest procedure has worked admirably on simulations of the Treasury model of the UK economy.","https://www.proquest.com/docview/194246877?accountid=12870&bdid=124553&_bd=TgP%2Fc%2FYJ7DU8wQZBf0YNhIV463k%3D",""
"The behavior of short-term interest rates: international evidence of non-linear adjustment","","Haug, Alfred A; Siklos, Pierre L","Studies in nonlinear dynamics and econometrics","Undefined","","10","4","2006-12-01","Dec 2006","","","","1558-3708","1558-3708","","ENG","This study tests whether changes in the short-term interest rate can best be modelled in a non-linear fashion. We argue that there are good theoretical and empirical reasons for adopting this strategy. Using monthly data from several industrialized countries, namely Canada, Germany, Sweden, Switzerland, UK, and US, we show that the short-term interest rate movements are better explained, usually via the exponential smooth transition autoregression (ESTR). Unlike the existing literature on non-linear estimation, we consider a number of candidates for the transition variable. These include: an error correction term, estimated from an underlying cointegrating relationship predicted by the expectations hypothesis, the US term spread, the domestic spread, inflation and output growth forecasts, and deviations from an inflation target in the case of Canada, the UK and Sweden. The sample spans the period from 1960-1998. We reject linearity in the behavior of short-term interest rate changes and instead find support for a non-linear model with the (lagged) domestic spread as the transition variable. However, other more economically meaningful alternatives perform just as well. For example, in the case of the inflation targeting countries in our sample, the most appropriate transition variable can be the deviation from the publicly announced inflation target. We supplement estimates with extensive diagnostic testing of the non-linear model to ensure that we can reject the linear alternative with reasonable confidence. We believe that changes in central bank policies, and in the reaction of market participants over time to such changes, argue in favor of the non-linear estimation approach. We also argue that any model of the term structure estimated over a fairly long span of time necessitates resort to non-linear estimation methods. Reprinted by permission of Berkeley Electronic Press","https://www.proquest.com/docview/838990868?accountid=12870&bdid=124553&_bd=nAYOn4a9ge8JVhERaMH5lbznG0Q%3D",""
"Can Voluntary Insurance ensure risk-free digital-banking in Chinese-economy: seeking attentions?","","Rahman, Akim M; Islam, Saadi","Journal of Chinese Economic and Business Studies","Scholarly Journals","","20","2","2022-05-01","May 2022","139","158","139-158","14765284","","","ENG","In today’s business-world, services are carried out in a competitive manner country-wise such as China. Banking services are no different, which has resulted digital-banking. Bank Laws regulated by Central-Bank of China are characterized by evolving many factors that are often unpredictable. It faces serious pitfalls being it riskiness. Most cases, customers don’t read terms & conditions of services. Customers don’t save contract-copy. These weaknesses cause abuses. Customer faces perceived-risk. Dealing with challenges in Chinese-economy, application of Akim’s model - Voluntary Insurance (VI) can be impetus for policy-design, which can increase number of users. Welfare Analyses are used for guidance on setting insurance-price ensuring customer’s efficiency-cost so that the VI becomes appealing to parties involved. It can lead to higher number-of-users. In scenario, bank itself is an insurance-seller, the existence of adverse-selection is detected. Here estimated welfare-cost associated with inefficient-pricing created by adverse-selection is quantitatively small; however, advantageous-selection results opposite. Welfare assessment under alternative policy intervention in Chinese-economy will be vital for future-study.","https://www.proquest.com/docview/2681644138?accountid=12870&bdid=124553&_bd=%2F2wMfsJOo0KaWRh1mFrFtYf7RYc%3D","https://doi.org/10.1080/14765284.2021.1929792"
"Switching regimes in the term structure of interest rates during U.S. post-war: a case for the Lucas proof equilibrium","","Vázques, Jesús","Studies in nonlinear dynamics and econometrics","Undefined","","8","1","2004-03-01","Mar 2004","","","","1558-3708","1558-3708","","ENG","Farmer (1991) suggests that in a model in which there are multiple rational expectations (RE) equilibria agents may find it useful to coordinate their expectations in a unique RE equilibrium which is immune to the Lucas Critique. In this paper, we evaluate Lucas proof (LP) equilibrium performance in the context of the term structure of interest rates model by using post-war US data. Estimation results show that LP equilibrium exhibits some important features of the data that are not reproduced by the fundamental equilibrium. For instance, the short rate behaves as a random walk in a regime characterized by low conditional volatility, whereas the term spread Granger-causes changes in the short-rate in periods characterized by high conditional volatility. Reprinted by permission of Berkeley Electronic Press","https://www.proquest.com/docview/37874707?accountid=12870&bdid=124553&_bd=90Dn5z89hMJerPg0gtiFQrZWdTI%3D",""
"Is nonlinear drift implied by the short end of the term structure?","","Takamizawa, Hideyuki","Review of financial studies","Undefined","","21","1","2008-01-01","Jan 2008","311","346","311-346","0893-9454","0893-9454","","ENG","Nonlinear drift models of the short rate are estimated using data on the short end of the term structure, where the cross-sectional relation is obtained by an analytical approximation. The findings reveal that (i) nonlinear physical drift is not implied unless it is strongly affected by cross-sectional dimensions of the data; (ii) nonlinear risk-neutral drift that allows for fast mean reversion for high rates is desirable to explain and predict observed patterns of yield spreads; and (iii) for higher frequency data from which transitory shocks are removed, (ii) still remains valid although the nonlinearity is somewhat reduced. Reprinted by permission of Oxford University Press","https://www.proquest.com/docview/36873081?accountid=12870&bdid=124553&_bd=hTY680vPmZIInvXG0VqUT5kCn6c%3D","https://doi.org/10.1093/rfs/hhm072"
"Quasi-likelihood estimation of a threshold diffusion process","","Su, Fei; Chan, Kung-sik","Journal of econometrics","Undefined","Elsevier B.V.","189","2 p.473-484","2015-12-01","Dec 2015","473","484","p. 473-484","0304-4076","0304-4076","","ENG","The threshold diffusion process, first introduced by Tong (1990), is a continuous-time process satisfying a stochastic differential equation with a piecewise linear drift term and a piecewise smooth diffusion term, e.g., a piecewise constant function or a piecewise power function. We consider the problem of estimating the (drift) parameters indexing the drift term of a threshold diffusion process with continuous-time observations. Maximum likelihood estimation of the drift parameters requires prior knowledge of the functional form of the diffusion term, which is, however, often unavailable. We propose a quasi-likelihood approach for estimating the drift parameters of a two-regime threshold diffusion process that does not require prior knowledge about the functional form of the diffusion term. We show that, under mild regularity conditions, the quasi-likelihood estimators of the drift parameters are consistent. Moreover, the estimator of the threshold parameter is super consistent and weakly converges to some non-Gaussian continuous distribution. Also, the estimators of the autoregressive parameters in the drift term are jointly asymptotically normal with distribution the same as that when the threshold parameter is known. The empirical properties of the quasi-likelihood estimator are studied by simulation. We apply the threshold model to estimate the term structure of a long time series of US interest rates. The proposed approach and asymptotic results can be readily lifted to the case of a multi-regime threshold diffusion process.","https://www.proquest.com/docview/2189534307?accountid=12870&bdid=124553&_bd=U98WFapSVU7S9271biH6xAqc7m8%3D","https://doi.org/10.1016/j.jeconom.2015.03.038"
"An Application of the Capital Asset Pricing Model to Divisional Required Returns","","Van Horne, James C","Financial Management","Scholarly Journals","","9","1","1980-04-01","Spring 1980","14","","14","00463892","","","ENG","A study was made of the application of the capital asset pricing model in decisions regarding capital investments.  The Finnigan Corporation, a high technology company specializing in spectrometer and encoder systems, was the objective of the study.  In 1977, the financial basis for the company's goals was changed from return on sales to return on assets, with minimum required rates of return used as a basis for investment analysis.The specific investment hurdle rates were based on estimates of the cost of debt and equity, with a capitalization balance of one-third debt and two-thirds equity.  The cost of debt was based on the marginal cost of debt adjusted for the impact of taxes.  The cost of equity is proportional to the risk-free rate; plus the product of the beta coefficient and the expected return on the market portfolio less the risk-free rate; plus a return factor for the residual risk.  The rates of return developed through this procedure are considered as minimal.  In addition, goals for managers are based on improvements to rate of return, rather than growth in sales.","https://www.proquest.com/docview/208178448?accountid=12870&bdid=124553&_bd=pDXrsi8CI74SiRWm6EBx7V3f1pQ%3D",""
"Interest rate spreads as predictors of German inflation and business cycles","","Ivanova, D; Lahiri, K; Seitz, F","International Journal of Forecasting","Undefined","","16","1","2000-01-01","2000","39","58","39-58","0169-2070","0169-2070","","ENG","We have studied the comparative performance of a number of interest rate spreads as predictors of the German inflation and business cycle in the post-Bretton Woods era. The two-regime Markov-switch model that we used as a nonlinear filter allows the dynamic behavior of the economy to vary between expansions and recessions in terms of duration and volatility. We found that the bank term structure, the public term structure, and the spread based on the call rate predicted all recessions with a comfortable lead, although they lagged some of the recoveries by a few months. The bank-public spread generates a series of false signals, and missed completely the upturn in the mid-1970s, but detected the last two recoveries with an average lead of nearly 12 months. The source of the predictive power of interest rate spreads lies in the information they contain not only about monetary policy, but also about an assortment of general macroeconomic shocks. The filter probabilities from three of the interest rate differentials also foreshadowed the long swings in the German inflation rate remarkably well, with a lead time of 2-4 years without any false signals.","https://www.proquest.com/docview/18160067?accountid=12870&bdid=124553&_bd=aBJnBXya8WZpNKCRJQkw9guTnHs%3D",""
"Forecasts from a nonlinear t-bill rate model","","Larrain, Maurice; Pagano, Michael","Financial analysts journal","Undefined","","49","6","1993-11-01","Nov 1993","83","88","83-88","0015-198X","0015-198X","","ENG","","https://www.proquest.com/docview/38562743?accountid=12870&bdid=124553&_bd=LEIsR8fYu%2B%2BJtFOvSMlH8i22iIs%3D",""
